The Beach Boys	California Girls	1965
James Brown	Papa's Got a Brand New Bag	1965
Eddie Cochran	Summertime Blues	1958
Stevie Wonder	Superstition	1972
Led Zeppelin	Whole Lotta Love	1969
The Beatles	Strawberry Fields Forever	1967
Elvis Presley	Mystery Train	1955
James Brown	I Got You (I Feel Good)	1965
The Byrds	Mr. Tambourine Man	1965
Marvin Gaye	I Heard It Through the Grapevine	1968
Fats Domino	Blueberry Hill	1956
The Kinks	You Really Got Me	1964
The Beatles	Norwegian Wood (This Bird Has Flown)	1965
The Police	Every Breath You Take	1983
Patsy Cline	Crazy	1961
Bruce Springsteen	Thunder Road	1975
Johnny Cash	Ring of Fire	1963
The Temptations	My Girl	1964
The Mamas and the Papas	California Dreamin'	1965
The Five Satins	In the Still of the Night	1956
Elvis Presley	Suspicious Minds	1969
Ramones	Blitzkrieg Bop	1976
U2	I Still Haven't Found What I'm Looking For	1987
Little Richard	Good Golly, Miss Molly	1958
Carl Perkins	Blue Suede Shoes	1956
Jerry Lee Lewis	Great Balls of Fire	1957
Chuck Berry	Roll Over Beethoven	1956
Al Green	Love and Happiness	1973
Creedence Clearwater Revival	Fortunate Son	1969
The Rolling Stones	You Can't Always Get What You Want	1969
The Jimi Hendrix Experience	Voodoo Child (Slight Return)	1968
Gene Vincent and His Blue Caps	Be-Bop-A-Lula	1956
Donna Summer	Hot Stuff	1979
Stevie Wonder	Living for the City	1973
Simon and Garfunkel	The Boxer	1969
Bob Dylan	Mr. Tambourine Man	1965
Buddy Holly and the Crickets	Not Fade Away	1957
Prince	Little Red Corvette	1983
Van Morrison	Brown Eyed Girl	1967
Otis Redding	I've Been Loving You Too Long (to Stop Now)	1965
Hank Williams	I'm So Lonesome I Could Cry	1949
Elvis Presley	That's All Right	1954
The Drifters	Up on the Roof	1962
The Crystals	Da Doo Ron Ron	1963
Sam Cooke	You Send Me	1957
The Rolling Stones	Honky Tonk Women	1969
Al Green	Take Me to the River	1974
The Isley Brothers	Shout (Partie 1 et 2)	1959
Fleetwood Mac	Go Your Own Way	1977
The Jackson Five	I Want You Back	1969
Ben E. King	Stand by Me	1961
The Animals	The House of the Rising Sun	1964
James Brown	It's a Man's Man's Man's World	1966
The Rolling Stones	Jumpin' Jack Flash	1968
The Shirelles	Will You Love Me Tomorrow	1960
Big Joe Turner	Shake, Rattle and Roll	1954
David Bowie	Changes	1971
Chuck Berry	Rock & Roll Music	1957
Steppenwolf	Born to Be Wild	1968
Rod Stewart	Maggie May	1971
U2	With or Without You	1987
Bo Diddley	Who Do You Love?	1956
The Who	Won't Get Fooled Again	1971
Wilson Pickett	In the Midnight Hour	1965
The Beatles	While My Guitar Gently Weeps	1968
Elton John	Your Song	1970
The Beatles	Eleanor Rigby	1966
Sly and the Family Stone	Family Affair	1971
The Beatles	I Saw Her Standing There	1963
Led Zeppelin	Kashmir	1975
The Everly Brothers	All I Have to Do Is Dream	1958
James Brown and His Famous Flames	Please, Please, Please	1956
Prince and the Revolution	Purple Rain	1984
Ramones	I Wanna Be Sedated	1979
Sly and the Family Stone	Everyday People	1968
The B-52's	Rock Lobster	1978
Iggy Pop	Lust for Life	1977
Janis Joplin	Me and Bobby McGee	1971
The Everly Brothers	Cathy's Clown	1960
The Byrds	Eight Miles High	1966
The Penguins	Earth Angel	1954
The Jimi Hendrix Experience	Foxy Lady	1967
The Beatles	A Hard Day's Night	1964
Buddy Holly and the Crickets	Rave On	1958
Creedence Clearwater Revival	Proud Mary	1969
Simon and Garfunkel	The Sound of Silence	1964
The Flamingos	I Only Have Eyes for You	1959
Bill Haley and His Comets	(We're Gonna) Rock Around the Clock	1955
The Velvet Underground	I'm Waiting for the Man	1967
Public Enemy	Bring the Noise	1987
Ray Charles	I Can't Stop Loving You	1962
Sinéad O'Connor	Nothing Compares 2 U	1990
Queen	Bohemian Rhapsody	1975
Johnny Cash	Folsom Prison Blues	1955
Tracy Chapman	Fast Car	1988
Eminem	Lose Yourself	2000
Marvin Gaye	Let's Get It On	1973
The Temptations	Papa Was a Rollin' Stone	1972
R.E.M.	Losing My Religion	1991
Joni Mitchell	Both Sides Now	1969
ABBA	Dancing Queen	1976
Aerosmith	Dream On	1973
Sex Pistols	God Save the Queen	1977
The Rolling Stones	Paint It, Black	1966
The Bobby Fuller Four	I Fought the Law	1965
The Beach Boys	Don't Worry Baby	1964
Tom Petty	Free Fallin'	1989
Big Star	September Gurls	1974
Joy Division	Love Will Tear Us Apart	1980
OutKast	Hey Ya!	2003
Booker T. and the M.G.'s	Green Onions	1962
The Drifters	Save the Last Dance for Me	1960
B. B. King	The Thrill Is Gone	1969
The Beatles	Please Please Me	1963
Bob Dylan	Desolation Row	1965
Aretha Franklin	I Never Loved a Man (the Way I Love You)	1967
AC/DC	Back in Black	1980
Creedence Clearwater Revival	Who'll Stop the Rain	1970
Bee Gees	Stayin' Alive	1977
Bob Dylan	Knockin' on Heaven's Door	1973
Lynyrd Skynyrd	Free Bird	1973
Glen Campbell	Wichita Lineman	1968
The Drifters	There Goes My Baby	1959
Buddy Holly	Peggy Sue	1957
The Chantels	Maybe	1957
Guns N' Roses	Sweet Child O' Mine	1988
Elvis Presley	Don't Be Cruel	1956
The Jimi Hendrix Experience	Hey Joe	1966
Parliament	Flash Light	1977
Beck	Loser	1993
New Order	Bizarre Love Triangle	1986
The Beatles	Come Together	1969
Bob Dylan	Positively 4th Street	1965
Otis Redding	Try a Little Tenderness	1966
Bill Withers	Lean on Me	1972
The Four Tops	Reach Out I'll Be There	1966
The Everly Brothers	Bye Bye Love	1957
Them	Gloria	1964
The Beach Boys	In My Room	1963
? and the Mysterians	96 Tears	1966
The Beach Boys	Caroline, No	1966
Prince	1999	1982
Hank Williams	Your Cheatin' Heart	1953
Neil Young	Rockin' in the Free World	1989
The Chords	Sh-Boom	1954
The Lovin' Spoonful	Do You Believe in Magic	1965
Dolly Parton	Jolene	1974
John Lee Hooker	Boom Boom	1961
Howlin' Wolf	Spoonful	1960
The Left Banke	Walk Away Renée	1966
Lou Reed	Walk on the Wild Side	1972
Roy Orbison	Oh, Pretty Woman	1964
Sly and the Family Stone	Dance to the Music	1968
Chic	Good Times	1979
Muddy Waters	Hoochie Coochie Man	1954
Van Morrison	Moondance	1970
James Taylor	Fire and Rain	1970
The Clash	Should I Stay or Should I Go	1982
Muddy Waters	Mannish Boy	1955
Bob Dylan	Just Like a Woman	1966
Marvin Gaye	Sexual Healing	1982
Roy Orbison	Only the Lonely	1960
The Animals	We Gotta Get out of This Place	1965
The Byrds	I'll Feel a Whole Lot Better	1965
Ray Charles	I Got a Woman	1954
Buddy Holly and the Crickets	Everyday	1957
Afrika Bambaataa and the Soulsonic Force	Planet Rock	1982
Patsy Cline	I Fall to Pieces	1961
Dion	The Wanderer	1961
Dusty Springfield	Son of a Preacher Man	1968
Sly and the Family Stone	Stand!	1969
Elton John	Rocket Man	1972
The B-52's	Love Shack	1989
The Spencer Davis Group	Gimme Some Lovin'	1966
The Band	The Night They Drove Old Dixie Down	1969
Jackie Wilson	(Your Love Keeps Lifting Me) Higher and Higher	1967
Sly and the Family Stone	Hot Fun in the Summertime	1969
The Sugarhill Gang	Rapper's Delight	1979
Aretha Franklin	Chain of Fools	1967
Black Sabbath	Paranoid	1970
Bobby Darin	Mack the Knife	1959
The Drifters	Money Honey	1953
Mott the Hoople	All the Young Dudes	1972
AC/DC	Highway to Hell	1979
Blondie	Heart of Glass	1979
Radiohead	Paranoid Android	1997
The Troggs	Wild Thing	1966
The Who	I Can See for Miles	1967
Jeff Buckley	Hallelujah	1994
The Dells	Oh, What a Night	1956
Stevie Wonder	Higher Ground	1973
Smokey Robinson and the Miracles	Ooo Baby Baby	1965
The Crystals	He's a Rebel	1962
Randy Newman	Sail Away	1972
Archie Bell and the Drells	Tighten Up	1968
The Ronettes	Walking in the Rain	1964
The New York Dolls	Personality Crisis	1973
U2	Sunday Bloody Sunday	1983
The Modern Lovers	Roadrunner	1976
George Jones	He Stopped Loving Her Today	1980
The Beach Boys	Sloop John B	1966
Chuck Berry	Sweet Little Sixteen	1958
The Beatles	Something	1969
Jefferson Airplane	Somebody to Love	1967
Bruce Springsteen	Born in the U.S.A.	1984
The Staple Singers	I'll Take You There	1972
David Bowie	Ziggy Stardust	1972
The Cure	Pictures of You	1990
The Dixie Cups	Chapel of Love	1964
Bill Withers	Ain't No Sunshine	1971
Stevie Wonder	You Are the Sunshine of My Life	1973
Joni Mitchell	Help Me	1974
Blondie	Call Me	1980
Elvis Costello and the Attractions	(What's So Funny 'Bout) Peace, Love and Understanding	1978
Howlin' Wolf	Smokestack Lightning	1956
Pavement	Summer Babe (Winter Version)	1992
Run–DMC	Walk This Way	1986
Barrett Strong	Money (That's What I Want)	1959
The Beatles	Can't Buy Me Love	1964
Eminem feat. Dido	Stan	2000
The Zombies	She's Not There	1964
The Clash	Train in Vain	1980
Al Green	Tired of Being Alone	1971
Led Zeppelin	Black Dog	1971
The Rolling Stones	Street Fighting Man	1968
Bob Marley and the Wailers	Get Up, Stand Up	1973
Neil Young	Heart of Gold	1971
Blondie	One Way or Another	1979
Prince	Sign o' the Times	1987
Madonna	Like a Prayer	1988
Rod Stewart	Da Ya Think I'm Sexy?	1978
Willie Nelson	Blue Eyes Crying in the Rain	1975
The Rolling Stones	Ruby Tuesday	1967
The Beatles	With a Little Help from My Friends	1967
James Brown	Say It Loud – I'm Black and I'm Proud	1968
The Jam	That's Entertainment	1980
The Teenagers feat. Frankie Lymon	Why Do Fools Fall in Love	1956
Jackie Wilson	Lonely Teardrops	1958
Tina Turner	What's Love Got to Do with It	1984
Black Sabbath	Iron Man	1971
The Everly Brothers	Wake Up Little Susie	1957
Roy Orbison	In Dreams	1963
Screamin' Jay Hawkins	I Put a Spell on You	1956
Pink Floyd	Comfortably Numb	1979
The Animals	Don't Let Me Be Misunderstood	1965
Pink Floyd	Wish You Were Here	1975
Jimmy Cliff	Many Rivers to Cross	1969
Elvis Costello	Alison	1977
Alice Cooper	School's Out	1972
Led Zeppelin	Heartbreaker	1969
Neil Young	Cortez the Killer	1975
Public Enemy	Fight the Power	1989
Patti Smith Group	Dancing Barefoot	1979
The Supremes	Baby Love	1964
The Young Rascals	Good Lovin'	1966
James Brown	Get Up (I Feel Like Being a) Sex Machine	1970
Jerry Butler and the Impressions	For Your Precious Love	1958
The Doors	The End	1967
Earth, Wind and Fire	That's the Way of the World	1975
Queen	We Will Rock You	1977
Bonnie Raitt	I Can't Make You Love Me	1991
Bob Dylan	Subterranean Homesick Blues	1965
Norman Greenbaum	Spirit in the Sky	1969
The Rolling Stones	Wild Horses	1971
The Velvet Underground	Sweet Jane	1970
Aerosmith	Walk This Way	1975
Michael Jackson	Beat It	1982
Paul McCartney	Maybe I'm Amazed	1970
The Supremes	You Keep Me Hangin' On	1966
The Who	Baba O'Riley	1971
Jimmy Cliff	The Harder They Come	1972
Dion	Runaround Sue	1961
LaVern Baker	Jim Dandy	1956
Big Brother and the Holding Company	Piece of My Heart	1968
Ritchie Valens	La bamba	1958
2Pac feat. Dr. Dre	California Love	1995
Elton John	Candle in the Wind	1974
The Isley Brothers	That Lady (Partie 1 et 2)	1973
Ben E. King	Spanish Harlem	1961
Little Eva	The Loco-Motion	1962
The Platters	The Great Pretender	1955
Elvis Presley	All Shook Up	1957
Eric Clapton	Tears in Heaven	1992
Elvis Costello	Watching the Detectives	1977
Creedence Clearwater Revival	Bad Moon Rising	1969
Eurythmics	Sweet Dreams (Are Made of This)	1983
The Jimi Hendrix Experience	Little Wing	1967
Martha and the Vandellas	Nowhere to Run	1965
Muddy Waters	Got My Mojo Working	1957
Roberta Flack	Killing Me Softly with His Song	1973
The Clash	Complete Control	1977
The Beatles	All You Need Is Love	1967
The Box Tops	The Letter	1967
Bob Dylan	Highway 61 Revisited	1965
The Righteous Brothers	Unchained Melody	1965
Bee Gees	How Deep Is Your Love	1977
Cream	White Room	1968
Depeche Mode	Personal Jesus	1989
Bo Diddley	I'm a Man	1955
The Jimi Hendrix Experience	The Wind Cries Mary	1967
The Who	I Can't Explain	1965
Television	Marquee Moon	1977
Sam Cooke	Wonderful World	1960
Chuck Berry	Brown Eyed Handsome Man	1956
Pink Floyd	Another Brick in the Wall Part 2	1979
Radiohead	Fake Plastic Trees	1994
Ray Charles	Hit the Road Jack	1961
U2	Pride (In the Name of Love)	1984
R.E.M.	Radio Free Europe	1981
Elton John	Goodbye Yellow Brick Road	1973
Aaron Neville	Tell It Like It Is	1966
The Verve	Bitter Sweet Symphony	1997
The Allman Brothers Band	Whipping Post	1969
The Beatles	Ticket to Ride	1965
Crosby, Stills, Nash and Young	Ohio	1970
Eric B. and Rakim	I Know You Got Soul	1987
Elton John	Tiny Dancer	1972
The Police	Roxanne	1978
The Temptations	Just My Imagination (Running Away with Me)	1971
The Four Tops	Baby I Need Your Loving	1964
Freda Payne	Band of Gold	1970
Five Stairsteps	O-o-h Child	1970
The Lovin' Spoonful	Summer in the City	1966
Elvis Presley	Can't Help Falling in Love	1961
The Shangri-Las	Remember (Walkin' in the Sand)	1964
Big Star	Thirteen	1972
Blue Öyster Cult	(Don't Fear) The Reaper	1976
Lynyrd Skynyrd	Sweet Home Alabama	1974
Metallica	Enter Sandman	1991
Paul Revere and the Raiders	Kicks	1966
The Shirelles	Tonight's the Night	1961
Sly and the Family Stone	Thank You (Falettinme Be Mice Elf Agin)	1969
Eddie Cochran	C'mon Everybody	1958
Bob Dylan	Visions of Johanna	1966
The Carpenters	We've Only Just Begun	1970
R. Kelly	I Believe I Can Fly	1996
Nirvana	In Bloom	1992
Aerosmith	Sweet Emotion	1975
Cream	Crossroads	1968
Pixies	Monkey Gone to Heaven	1989
Donna Summer	I Feel Love	1977
Bobbie Gentry	Ode to Billie Joe	1967
Little Richard	The Girl Can't Help It	1956
The Coasters	Young Blood	1957
The Four Tops	Can't Help Myself	1965
Don Henley	The Boys of Summer	1984
N.W.A	Fuck tha Police	1988
Crosby, Stills & Nash	Suite: Judy Blue Eyes	1969
Dr. Dre	Nuthin' but a 'G' Thang	1992
The Isley Brothers	It's Your Thing	1969
Billy Joel	Piano Man	1973
The Kinks	Lola	1970
Elvis Presley	Blue Suede Shoes	1956
The Rolling Stones	Tumbling Dice	1972
The Smiths	William, It Was Really Nothing	1984
Deep Purple	Smoke on the Water	1973
U2	New Year's Day	1983
Mitch Ryder and the Detroit Wheels	Devil with a Blue Dress On / Good Golly, Miss Molly	1966
Solomon Burke	Everybody Needs Somebody to Love	1964
The Clash	(White Man) In Hammersmith Palais	1978
Fats Domino	Ain't That a Shame	1955
Gladys Knight and the Pips	Midnight Train to Georgia	1973
Led Zeppelin	Ramble On	1969
Wilson Pickett	Mustang Sally	1966
The Rolling Stones	Beast of Burden	1978
Love	Alone Again Or	1968
Elvis Presley	Love Me Tender	1956
The Stooges	I Wanna Be Your Dog	1969
John Cougar Mellencamp	Pink Houses	1983
Salt-N-Pepa	Push It	1987
The Del-Vikings	Come Go with Me	1956
Little Richard	Keep A-Knockin'	1957
Bob Marley and the Wailers	I Shot the Sheriff	1973
Sonny and Cher	I Got You Babe	1965
Nirvana	Come as You Are	1992
Toots and the Maytals	Pressure Drop	1970
The Shangri-Las	Leader of the Pack	1964
The Velvet Underground	Heroin	1967
The Beatles	Penny Lane	1967
Glen Campbell	By the Time I Get to Phoenix	1967
Chubby Checker	The Twist	1960
Sam Cooke	Cupid	1961
Guns N' Roses	Paradise City	1989
George Harrison	My Sweet Lord	1971
Nirvana	All Apologies	1993
Lloyd Price	Stagger Lee	1958
Ramones	Sheena Is a Punk Rocker	1977
Sam & Dave	Soul Man	1967
Muddy Waters	Rollin' Stone	1950
The Chiffons	One Fine Day (en)	1963
Prince and the Revolution	Kiss	1986
The Staple Singers	Respect Yourself	1971
The Beatles	Rain	1966
The Four Tops	Standing in the Shadows of Love	1966
Cheap Trick	Surrender	1978
Del Shannon	Runaway	1961
Guns N' Roses	Welcome to the Jungle	1987
The Stooges	Search and Destroy	1973
Carole King	It's Too Late	1971
Joni Mitchell	Free Man in Paris	1974
Willie Nelson	On the Road Again	1980
The Supremes	Where Did Our Love Go	1964
Aretha Franklin	Do Right Woman – Do Right Man	1967
Funkadelic	One Nation Under a Groove	1978
Beastie Boys	Sabotage	1994
Foreigner	I Want to Know What Love Is	1984
Rick James	Super Freak	1981
Jefferson Airplane	White Rabbit	1967
LaBelle	Lady Marmalade	1974
Van Morrison	Into the Mystic	1970
David Bowie	Young Americans	1975
Alice Cooper	I'm Eighteen	1970
The Cure	Just Like Heaven	1987
Joan Jett and the Blackhearts	I Love Rock 'n' Roll	1982
Paul Simon	Graceland	1986
The Smiths	How Soon Is Now?	1985
The Drifters	Under the Boardwalk	1964
Fleetwood Mac	Rhiannon	1976
Gloria Gaynor	I Will Survive	1978
The Rolling Stones	Brown Sugar	1971
Dusty Springfield	You Don't Have to Say You Love Me	1966
Jackson Browne	Running on Empty	1978
The Crystals	Then He Kissed Me	1963
Eagles	Desperado	1973
Smokey Robinson and the Miracles	Shop Around	1960
The Rolling Stones	Miss You	1978
Weezer	Buddy Holly	1994
Brook Benton	Rainy Night in Georgia	1969
Thin Lizzy	The Boys Are Back in Town	1976
Boston	More Than a Feeling	1976
Gnarls Barkley	Crazy	2006
Beyoncé feat. Jay-Z	Crazy in Love	2003
U2	Moment of Surrender	2009
Jay-Z	99 Problems	2003
Amy Winehouse	Rehab	2006
M.I.A.	Paper Planes	2007
Drapeau des États-Unis Bob Dylan	Mississippi	2001
Kanye West	Jesus Walks	2004
The White Stripes	Seven Nation Army	2003
Daft Punk	One More Time	2001
Franz Ferdinand	Take Me Out	2003
U2	Beautiful Day	2000
Yeah Yeah Yeahs	Maps	2004
Rihanna feat. Jay-Z	Umbrella	2007
The Notorious B.I.G	Juicy	1994
Green Day	American Idiot	2004
50 Cent	In da Club	2003
Missy Elliott	Get Ur Freak On	2001
Jay-Z feat. UGK	Big Pimpin'	2000
The Strokes	Last Nite	2001
Kelly Clarkson	Since U Been Gone	2004
Justin Timberlake	Cry Me a River	2002
Coldplay	Clocks	2003
MGMT	Time to Pretend	2008
R. Kelly	Ignition (Remix)	2002
Bruce Springsteen	The Rising	2002
Fleetwood Mac	Dreams	1977
Robyn	Dancing On My Own	2010
Billie Holiday	Strange Fruit	1939
Kanye West feat. Pusha T	Runaway	2010
Joni Mitchell	A Case of You (en)	1971
Talking Heads	Once in a Lifetime (en)	1980
Lorde	Royals	2011
OutKast	B.O.B. (en)	2000
Kendrick Lamar	Alright	2015
Radiohead	Idioteque	2000
Lauryn Hill	Doo Wop (That Thing)	1998
Daddy Yankee	Gasolina	2004
Missy Elliott	Work It (en)	2000
Kate Bush	Running Up that Hill	1985
Earth, Wind and Fire	September	1978
Taylor Swift	All Too Well	2012
Beyoncé	Formation	2016
Leonard Cohen	Hallelujah	1984
Pulp	Common People	1996
Amy Winehouse	Back to Black	2006
Adele	Rolling in the Deep	2011
LCD Soundsystem	All My Friends (en)	2011
Aretha Franklin	(You Make Me Feel Like) A Natural Woman	1967
UGK feat. OutKast	International Players Anthem (I Choose You) (en)	2007
Whitney Houston	I Will Always Love You	1992
Oasis	Wonderwall	1995
Patti Smith	Gloria	1975
Alanis Morissette	You Oughta Know	1995
David Bowie	Life on Mars?	1971
Wu-Tang Clan	C.R.E.A.M.	1994
Britney Spears	Toxic	2003
Etta James	At Last	1960
Rob Base and DJ E-Z Rock (en)	It Takes Two (en)	1988
Aretha Franklin	I Say a Little Prayer	1968
Radiohead	Creep	1992
X-Ray Spex	Oh Bondage Up Yours! (en)	1977
Talking Heads	This Must Be the Place (Naive Melody) (en)	1983
George Michael	Freedom! '90	1990
TLC	Waterfalls	1995
Drake feat. Majid Jordan (en)	Hold On, We're Going Home (en)	2013
Eric B. and Rakim	Paid in Full	1987
Journey	Don't Stop Believin'	1981
Ariana Grande	Thank U, Next	2019
Madonna	Vogue	1990
OutKast	Ms. Jackson	2000
Green Day	Basket Case	1994
Sonic Youth	Teenage Riot	1988
The Meters	Cissy Strut (en)	1969
R.E.M.	Nightswimming	1992
Madonna	Into the Groove	1985
Nick Drake	Pink Moon	1972
Fleetwood Mac	Landslide (en)	1975
Tom Petty and the Heartbreakers	American Girl (en)	1976
Louis Armstrong	What a Wonderful World	1967
Nina Simone	Mississippi Goddam	1964
Van Halen	Jump	1983
Billie Eilish	Bad Guy	2019
David Bowie	Space Oddity	1969
Geto Boys	Mind Playing Tricks on Me (en)	1991
PJ Harvey	Rid of Me	1993
Ann Peebles	I Can't Stand the Rain	1973
Stevie Wonder	Signed, Sealed, Delivered I'm Yours	1970
Britney Spears	…Baby One More Time	1998
Rage Against the Machine	Killing in the Name	1992
Hole	Doll Parts (en)	1992
Steely Dan	Deacon Blues	1992
Mobb Deep	Shook Ones Pt. II	1995
Stevie Nicks	Edge of Seventeen	1981
The Smiths	There Is a Light That Never Goes Out	1986
Beyoncé	Single Ladies (Put a Ring on It)	2008
Woody Guthrie	This Land Is Your Land	1951
Whitney Houston	I Wanna Dance with Somebody (Who Loves Me)	1987
Deee-Lite	Groove Is in the Heart	1990
New Order	Blue Monday	1983
Aaliyah	Are You That Somebody? (en)	1998
Backstreet Boys	I Want It That Way	1999
Digital Underground	The Humpty Dance (en)	1990
Faces	Ooh La La (en)	1973
Joni Mitchell	River	1971
N.W.A	Straight Outta Compton	1988
Joan Jett	Bad Reputation	1980
The Supremes	Stop! In the Name of Love	1965
Loretta Lynn	Coal Miner's Daughter	1970
Metallica	Master of Puppets	1986
Martha Reeves and the Vandellas	Heat Wave	1963
Gil Scott-Heron	The Revolution Will Not Be Televised	1971
Curtis Mayfield	Pusherman	1972
Paul Simon	American Tune (en)	1973
Dolly Parton	Coat of Many Colors	1971
The Replacements	Left of the Dial	1971
Augustus Pablo	King Tubby Meets the Rockers Uptown (en)	1974
Drake feat. Rihanna	Take Care	2011
Nine Inch Nails	Closer	1994
Buzzcocks	Ever Fallen in Love (With Someone You Shouldn't've)	1978
Radiohead	Karma Police	1997
Clipse	Grindin'	2002
INXS	Never Tear Us Apart	1988
Leonard Cohen	Suzanne	1967
Destiny’s Child	Say My Name	1999
AC/DC	You Shook Me All Night Long	1980
The Funky 4 + 1	That's the Joint (en)	1980
Bruce Springsteen	Atlantic City (en)	1982
Usher feat. Lil Jon and Ludacris	Yeah!	2004
Phil Collins	In the Air Tonight	1981
A Tribe Called Quest	Can I Kick It? (en)	1990
Bikini Kill	Rebel Girl (en)	1993
The Beach Boys	Wouldn't It Be Nice	1966
Bruce Springsteen	Jungleland (en)	1975
Bob Seger	Night Moves (en)	1976
TLC	No Scrubs	1999
Kraftwerk	Trans-Europe Express (en)	1977
Liz Phair	Divorce Song	1993
Isaac Hayes	Walk On By	1969
Smokey Robinson and the Miracles	The Tears of a Clown	1967
John Coltrane	Pt. 1-Acknowledgement	1965
Big Mama Thornton	Hound Dog	1953
Tears for Fears	Everybody Wants to Rule the World	1985
Neil Young	After the Gold Rush	1970
Billy Joel	Scenes from an Italian Restaurant (en)	1977
Rilo Kiley	Portions for Foxes	2004
Mary J. Blige	Real Love	1992
Red Hot Chili Peppers	Under the Bridge	1991
Bad Bunny	Safaera (en)	2020
The Notorious B.I.G	Big Poppa	1994
The Marvelettes	Please Mr. Postman	1961
The Grateful Dead	Ripple (en)	1970
Marshall Jefferson	Move Your Body (The House Music Anthem) (en)	1986
Hall and Oates	She's Gone (en)	1973
Cher	Believe	1998
The Monkees	I'm a Believer	1966
Chuck Berry	Promised Land	1964
The Doobie Brothers	What a Fool Believes	1979
BTS	Dynamite	2020
Roxy Music	Virginia Plain	1972
The Zombies	Time of the Season	1968
John Prine	Angel from Montgomery (en)	1971
Jorge Ben	Ponta de Lança Africano (Umbabarauma) (en)	1976
Ice Cube	It Was a Good Day	1992
Michael Jackson	Rock with You	1979
Thelma Houston	Don't Leave Me This Way	1976
Taylor Swift	Blank Space	2014
Patti Smith	Because the Night	1978
Fugees	Killing Me Softly with His Song	1996
Kacey Musgraves	Merry Go 'Round (en)	2013
Bob Marley and the Wailers	Could You Be Loved	1980
The Grateful Dead	Box of Rain	1970
Frank Ocean	Thinkin Bout You	2012
Soundgarden	Black Hole Sun	1994
The Cars	Just What I Needed	1978
Elton John	Bennie and the Jets	1973
Drake	Hotline Bling	2015
William DeVaughn	Be Thankful for What You Got (en)	1974
Merle Haggard	Mama Tried	1968
The Killers	Mr. Brightside	2003
D'Angelo	Untitled (How Does It Feel) (en)	2000
Fountains of Wayne	Radiation Vibe (en)	1996
The Slits	Typical Girls	1979
Fiona Apple	Paper Bag (en)	1999
Childish Gambino	Redbone (en)	2016
Cardi B, J. Balvin, and Bad Bunny	I Like It	2018
Diana Ross	I'm Coming Out	1980
DMX	Party Up (Up in Here) (en)	1999
Pretenders	Brass in Pocket	1979
Eric Church	Springsteen (en)	2011
Coldplay	Fix You	2005
Duran Duran	Hungry Like the Wolf	1982
Sylvester	You Make Me Feel (Mighty Real)	1978
David Bowie	Station to Station	1976
Bill Withers	Lovely Day	1977
